fecha,efectivo,cta_cte,tarjetas,tickets,cheques,otros,total,ventas,prom_vtas,cubt1,cubt2,cubt3,cub,promedio,acumulado
"Mar 03/05/22",70032.00,0.00,23174.00,0.00,0.00,25032.00,118238.00,37,3195.62,0,0,0,0,0.00,16824838.0
"Mie 04/05/22",52480.00,0.00,47910.00,0.00,0.00,19820.00,120210.00,32,3756.56,0,0,0,0,0.00,16945048.0
"Jue 05/05/22",83270.00,0.00,39080.00,0.00,0.00,14830.00,137180.00,39,3517.44,0,0,0,0,0.00,17082228.0
"Vie 06/05/22",146367.00,0.00,93140.00,0.00,0.00,42000.00,281507.00,82,3433.01,0,0,0,0,0.00,17363735.0
"Sab 07/05/22",108920.00,3590.00,102370.00,0.00,0.00,51620.00,266500.00,78,3416.67,0,0,0,0,0.00,17630235.0
"Mar 10/05/22",81956.00,0.00,0.00,0.00,0.00,57362.00,139318.00,38,3666.26,0,0,0,0,0.00,17769553.0
"Mie 11/05/22",90280.00,0.00,27910.00,0.00,0.00,29110.00,147300.00,36,4091.67,0,0,0,0,0.00,17916853.0
"Jue 12/05/22",82770.00,0.00,33480.00,0.00,0.00,27090.00,143340.00,41,3496.10,0,0,0,0,0.00,18060193.0
"Vie 13/05/22",135710.00,0.00,33020.00,0.00,0.00,47200.00,215930.00,62,3482.74,0,0,0,0,0.00,18276123.0
"Sab 14/05/22",129860.00,0.00,68930.00,0.00,0.00,28050.00,226840.00,63,3600.63,0,0,0,0,0.00,18502963.0
"Mar 17/05/22",78522.00,0.00,51940.00,0.00,0.00,23724.00,154186.00,43,3585.72,0,0,0,0,0.00,18657149.0
"Jue 19/05/22",88030.00,0.00,14900.00,0.00,0.00,24650.00,127580.00,31,4115.48,0,0,0,0,0.00,18784729.0
"Vie 20/05/22",129264.00,0.00,75910.00,0.00,0.00,33180.00,238354.00,73,3265.12,0,0,0,0,0.00,19023083.0
"Sab 21/05/22",159950.00,0.00,59590.00,0.00,0.00,43530.00,263070.00,78,3372.69,0,0,0,0,0.00,19286153.0
"Mar 24/05/22",138316.00,0.00,41790.00,0.00,0.00,28602.00,208708.00,63,3312.83,0,0,0,0,0.00,19494861.0
"Mie 25/05/22",73760.00,0.00,15500.00,0.00,0.00,2330.00,91590.00,23,3982.17,0,0,0,0,0.00,19586451.0
"Jue 26/05/22",65950.00,0.00,36220.00,0.00,0.00,9780.00,111950.00,29,3860.34,0,0,0,0,0.00,19698401.0
"Vie 27/05/22",108855.00,0.00,74590.00,0.00,0.00,21700.00,205145.00,54,3798.98,0,0,0,0,0.00,19903546.0
"Sab 28/05/22",145370.00,0.00,92720.00,0.00,0.00,30230.00,268320.00,73,3675.62,0,0,0,0,0.00,20171866.0
"Mar 31/05/22",64438.00,0.00,31409.00,0.00,0.00,16363.00,112210.00,29,3869.31,0,0,0,0,0.00,20284076.0
"Mie 01/06/22",36140.00,0.00,19340.00,0.00,0.00,30810.00,86290.00,24,3595.42,0,0,0,0,0.00,20370366.0
"Jue 02/06/22",66860.00,0.00,29420.00,0.00,0.00,22220.00,118500.00,31,3822.58,0,0,0,0,0.00,20488866.0
"Vie 03/06/22",148590.00,0.00,87600.00,0.00,0.00,34600.00,270790.00,74,3659.32,0,0,0,0,0.00,20759656.0
"Sab 04/06/22",148490.00,0.00,71010.00,0.00,0.00,26600.00,246100.00,66,3728.79,0,0,0,0,0.00,21005756.0
"Mar 07/06/22",55551.00,0.00,40555.00,0.00,0.00,18230.00,114336.00,31,3688.26,0,0,0,0,0.00,21120092.0
"Mie 08/06/22",76440.00,0.00,33330.00,0.00,0.00,17330.00,127100.00,32,3971.88,0,0,0,0,0.00,21247192.0
"Jue 09/06/22",57750.00,0.00,74350.00,0.00,0.00,10126.00,142226.00,35,4063.60,0,0,0,0,0.00,21389418.0
"Vie 10/06/22",158210.00,0.00,42100.00,0.00,0.00,57260.00,257570.00,69,3732.90,0,0,0,0,0.00,21646988.0
"Sab 11/06/22",156150.00,0.00,49240.00,0.00,0.00,47826.00,253216.00,68,3723.76,0,0,0,0,0.00,21900204.0
"Mar 14/06/22",119302.00,0.00,38020.00,0.00,0.00,13980.00,171302.00,45,3806.71,0,0,0,0,0.00,22071506.0
"Mie 15/06/22",83090.00,0.00,52630.00,0.00,0.00,5790.00,141510.00,38,3723.95,0,0,0,0,0.00,22213016.0
"Jue 16/06/22",127910.00,0.00,72320.00,0.00,0.00,22900.00,223130.00,60,3718.83,0,0,0,0,0.00,22436146.0
"Vie 17/06/22",125040.00,0.00,48570.00,0.00,0.00,18820.00,192430.00,53,3630.75,0,0,0,0,0.00,22628576.0
"Sab 18/06/22",140992.00,0.00,79110.00,0.00,0.00,20070.00,240172.00,65,3694.95,0,0,0,0,0.00,22868748.0
"Dom 19/06/22",90900.00,0.00,22720.00,0.00,0.00,20280.00,133900.00,35,3825.71,0,0,0,0,0.00,23002648.0
"Mie 22/06/22",46420.00,0.00,64290.00,0.00,0.00,10350.00,121060.00,29,4174.48,0,0,0,0,0.00,23123708.0
"Jue 23/06/22",64830.00,0.00,35750.00,0.00,0.00,22110.00,122690.00,30,4089.67,0,0,0,0,0.00,23246398.0
"Vie 24/06/22",139480.00,0.00,73320.00,0.00,0.00,28500.00,241300.00,69,3497.10,0,0,0,0,0.00,23487698.0
"Sab 25/06/22",214210.00,0.00,42340.00,0.00,0.00,18420.00,274970.00,72,3819.03,0,0,0,0,0.00,23762668.0
"Mar 28/06/22",87665.00,0.00,26112.00,0.00,0.00,23563.00,137340.00,38,3614.21,0,0,0,0,0.00,23900008.0
"Mie 29/06/22",62860.00,0.00,18000.00,0.00,0.00,33260.00,114120.00,28,4075.71,0,0,0,0,0.00,24014128.0
"Jue 30/06/22",85620.00,0.00,47950.00,0.00,0.00,45940.00,179510.00,39,4602.82,0,0,0,0,0.00,24193638.0
"Vie 01/07/22",151230.00,0.00,128030.00,0.00,0.00,29980.00,309240.00,74,4178.92,0,0,0,0,0.00,24502878.0
"Sab 02/07/22",191835.00,0.00,102170.00,0.00,0.00,37980.00,331985.00,75,4426.47,0,0,0,0,0.00,24834863.0
"Mar 05/07/22",78847.00,0.00,44925.00,0.00,0.00,30688.00,154460.00,40,3861.50,0,0,0,0,0.00,24989323.0
"Mie 06/07/22",62390.00,0.00,35000.00,0.00,0.00,8750.00,106140.00,26,4082.31,0,0,0,0,0.00,25095463.0
"Jue 07/07/22",91890.00,0.00,36290.00,0.00,0.00,26610.00,154790.00,40,3869.75,0,0,0,0,0.00,25250253.0
"Vie 08/07/22",157918.00,0.00,73960.00,0.00,0.00,60630.00,292508.00,63,4642.98,0,0,0,0,0.00,25542761.0
"Sab 09/07/22",141700.00,0.00,88020.00,0.00,0.00,35250.00,264970.00,63,4205.87,0,0,0,0,0.00,25807731.0
"Mar 12/07/22",93566.00,0.00,51302.00,0.00,0.00,7830.00,152698.00,36,4241.61,0,0,0,0,0.00,25960429.0
