fecha,salon,mostrador,domicilio,otros,total,cub,promedio,ventas,prom_vtas,acumulado
"Mie 23/03/22",0.00,4760.00,177310.00,0.00,182070.00,0,0.00,56,3251.25,182070.00
"Jue 24/03/22",0.00,9780.00,102020.00,0.00,111800.00,0,0.00,34,3288.24,111800.00
"Vie 25/03/22",0.00,19170.00,162340.00,0.00,181510.00,0,0.00,60,3025.17,181510.00
"Sab 26/03/22",0.00,20680.00,188990.00,0.00,209670.00,0,0.00,63,3328.10,209670.00
"Mar 29/03/22",0.00,1010.00,129630.00,0.00,130640.00,0,0.00,40,3266.00,130640.00
"Mie 30/03/22",0.00,0.00,70540.00,0.00,70540.00,0,0.00,24,2939.17,70540.00
"Jue 31/03/22",0.00,10850.00,80590.00,0.00,91440.00,0,0.00,31,2949.68,91440.00
"Vie 01/04/22",0.00,31490.00,186220.00,0.00,217710.00,0,0.00,72,3023.75,217710.00
"Sab 02/04/22",0.00,20600.00,193570.00,0.00,214170.00,0,0.00,67,3196.57,214170.00
"Mar 05/04/22",0.00,4932.00,89537.00,0.00,94469.00,0,0.00,36,2624.14,94469.00
"Mie 06/04/22",0.00,3030.00,127570.00,0.00,130600.00,0,0.00,43,3037.21,130600.00
"Jue 07/04/22",0.00,12020.00,126200.00,0.00,138220.00,0,0.00,42,3290.95,138220.00
"Vie 08/04/22",0.00,5170.00,230680.00,0.00,235850.00,0,0.00,71,3321.83,235850.00
"Sab 09/04/22",0.00,15842.00,327630.00,0.00,343472.00,0,0.00,109,3151.12,343472.00
"Mie 13/04/22",0.00,3870.00,150273.00,0.00,154143.00,0,0.00,48,3211.31,154143.00
"Jue 14/04/22",0.00,10390.00,171410.00,0.00,181800.00,0,0.00,48,3787.50,181800.00
"Vie 15/04/22",0.00,13020.00,152250.00,0.00,165270.00,0,0.00,56,2951.25,165270.00
"Sab 16/04/22",0.00,17420.00,200351.00,0.00,217771.00,0,0.00,69,3156.10,217771.00
"Vie 22/04/22",0.00,21250.00,168530.00,0.00,189780.00,0,0.00,65,2919.69,189780.00
"Sab 23/04/22",0.00,15510.00,199920.00,0.00,215430.00,0,0.00,70,3077.57,215430.00
"Mar 26/04/22",0.00,15247.00,99816.00,0.00,115063.00,0,0.00,37,3109.81,115063.00
"Mie 27/04/22",0.00,14610.00,83520.00,0.00,98130.00,0,0.00,30,3271.00,98130.00
"Jue 28/04/22",0.00,11050.00,104540.00,0.00,115590.00,0,0.00,37,3124.05,115590.00
"Vie 29/04/22",0.00,31470.00,162744.00,0.00,194214.00,0,0.00,58,3348.52,194214.00
"Sab 30/04/22",0.00,39350.00,182350.00,0.00,221700.00,0,0.00,64,3464.06,221700.00
"Mar 03/05/22",0.00,17139.00,101099.00,0.00,118238.00,0,0.00,35,3378.23,118238.00
"Mie 04/05/22",0.00,1860.00,118350.00,0.00,120210.00,0,0.00,32,3756.56,120210.00
"Jue 05/05/22",0.00,6640.00,130540.00,0.00,137180.00,0,0.00,39,3517.44,137180.00
"Vie 06/05/22",0.00,42160.00,239347.00,0.00,281507.00,0,0.00,81,3475.40,281507.00
"Sab 07/05/22",0.00,37320.00,229180.00,0.00,266500.00,0,0.00,77,3461.04,266500.00
"Mar 10/05/22",0.00,13639.00,125679.00,0.00,139318.00,0,0.00,38,3666.26,139318.00
"Mie 11/05/22",0.00,24190.00,123110.00,0.00,147300.00,0,0.00,36,4091.67,147300.00
"Jue 12/05/22",0.00,3030.00,140310.00,0.00,143340.00,0,0.00,41,3496.10,143340.00
"Vie 13/05/22",0.00,14570.00,201360.00,0.00,215930.00,0,0.00,62,3482.74,215930.00
"Sab 14/05/22",0.00,44380.00,182460.00,0.00,226840.00,0,0.00,62,3658.71,226840.00
"Mar 17/05/22",0.00,15710.00,138476.00,0.00,154186.00,0,0.00,43,3585.72,154186.00
"Jue 19/05/22",0.00,12410.00,115170.00,0.00,127580.00,0,0.00,31,4115.48,127580.00
"Vie 20/05/22",0.00,30460.00,207894.00,0.00,238354.00,0,0.00,73,3265.12,238354.00
"Sab 21/05/22",0.00,26690.00,236380.00,0.00,263070.00,0,0.00,78,3372.69,263070.00
"Mar 24/05/22",0.00,9074.00,199634.00,0.00,208708.00,0,0.00,63,3312.83,208708.00
"Mie 25/05/22",0.00,6080.00,85510.00,0.00,91590.00,0,0.00,22,4163.18,91590.00
"Jue 26/05/22",0.00,12240.00,99710.00,0.00,111950.00,0,0.00,29,3860.34,111950.00
"Vie 27/05/22",0.00,35960.00,169185.00,0.00,205145.00,0,0.00,54,3798.98,205145.00
"Sab 28/05/22",0.00,39500.00,228820.00,0.00,268320.00,0,0.00,73,3675.62,268320.00
"Mar 31/05/22",0.00,18766.00,93444.00,0.00,112210.00,0,0.00,29,3869.31,112210.00
"Mie 01/06/22",0.00,4970.00,81320.00,0.00,86290.00,0,0.00,24,3595.42,86290.00
"Jue 02/06/22",0.00,26110.00,92390.00,0.00,118500.00,0,0.00,31,3822.58,118500.00
"Vie 03/06/22",0.00,44310.00,226480.00,0.00,270790.00,0,0.00,72,3760.97,270790.00
"Sab 04/06/22",0.00,54610.00,191490.00,0.00,246100.00,0,0.00,66,3728.79,246100.00
"Mar 07/06/22",0.00,8370.00,105966.00,0.00,114336.00,0,0.00,31,3688.26,114336.00
"Mie 08/06/22",0.00,11220.00,115880.00,0.00,127100.00,0,0.00,32,3971.88,127100.00
"Jue 09/06/22",0.00,10470.00,131756.00,0.00,142226.00,0,0.00,34,4183.12,142226.00
"Vie 10/06/22",0.00,33920.00,223650.00,0.00,257570.00,0,0.00,69,3732.90,257570.00
"Sab 11/06/22",0.00,34130.00,219086.00,0.00,253216.00,0,0.00,67,3779.34,253216.00
"Mar 14/06/22",0.00,12247.00,159055.00,0.00,171302.00,0,0.00,45,3806.71,171302.00
"Mie 15/06/22",0.00,19270.00,122240.00,0.00,141510.00,0,0.00,38,3723.95,141510.00
"Jue 16/06/22",0.00,23910.00,199220.00,0.00,223130.00,0,0.00,59,3781.86,223130.00
"Vie 17/06/22",0.00,32200.00,160230.00,0.00,192430.00,0,0.00,52,3700.58,192430.00
"Sab 18/06/22",0.00,36332.00,203840.00,0.00,240172.00,0,0.00,65,3694.95,240172.00
"Dom 19/06/22",0.00,53420.00,80480.00,0.00,133900.00,0,0.00,35,3825.71,133900.00
"Mie 22/06/22",0.00,14250.00,106810.00,0.00,121060.00,0,0.00,29,4174.48,121060.00
"Jue 23/06/22",0.00,20890.00,101800.00,0.00,122690.00,0,0.00,29,4230.69,122690.00
"Vie 24/06/22",0.00,17840.00,223460.00,0.00,241300.00,0,0.00,69,3497.10,241300.00
"Sab 25/06/22",0.00,42890.00,232080.00,0.00,274970.00,0,0.00,72,3819.03,274970.00
"Mar 28/06/22",0.00,28005.00,109335.00,0.00,137340.00,0,0.00,38,3614.21,137340.00
"Mie 29/06/22",0.00,9100.00,105020.00,0.00,114120.00,0,0.00,28,4075.71,114120.00
"Jue 30/06/22",0.00,18200.00,161310.00,0.00,179510.00,0,0.00,39,4602.82,179510.00
"Vie 01/07/22",0.00,79020.00,230220.00,0.00,309240.00,0,0.00,74,4178.92,309240.00
"Sab 02/07/22",0.00,30180.00,301805.00,0.00,331985.00,0,0.00,75,4426.47,331985.00
"Mar 05/07/22",0.00,7934.00,146526.00,0.00,154460.00,0,0.00,40,3861.50,154460.00
"Mie 06/07/22",0.00,6550.00,99590.00,0.00,106140.00,0,0.00,26,4082.31,106140.00
"Jue 07/07/22",0.00,17790.00,137000.00,0.00,154790.00,0,0.00,40,3869.75,154790.00
